filename,umap_x,umap_y,final_cluster_id
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_FITC_Day1.png,7.75319,-2.491113,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_FITC_Day1.png,0.08693164,-1.3297052,-1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_FITC_Day0.png,5.712436,-2.2116563,-1
NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site4_FITC_Day2.png,3.478401,-3.8238103,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_FITC_Day0.png,5.7195086,-2.8030784,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_FITC_Day1.png,2.0732958,-2.0422478,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site1_FITC_Day2.png,-1.9532632,-2.6756043,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_FITC_Day0.png,5.7441096,-2.1740825,-1
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_FITC_Day1.png,6.171786,-3.5300426,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site2_FITC_Day2.png,2.0011175,-4.6151133,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_FITC_Day0.png,9.160157,-2.8755558,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site3_FITC_Day1.png,1.9488233,-2.0997016,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_FITC_Day0.png,10.423493,-2.5881517,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_FITC_Day1.png,1.5635413,-2.0806465,0
NCI Images/breast/bt549/nybd1/NYBD1-A11_500nM_BT549_site4_FITC_Day2.png,-2.1600819,-2.349562,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_FITC_Day0.png,8.401554,-3.1450748,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_FITC_Day1.png,5.0546427,-4.0296755,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_FITC_Day2.png,-1.6065634,-1.5869464,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_TRITC_Day0.png,8.461257,-2.8596463,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_TRITC_Day1.png,3.4786525,-3.196268,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site1_TRITC_Day2.png,-0.89997274,-2.4374678,-1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_FITC_Day0.png,3.2845361,-2.6561875,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_FITC_Day1.png,7.2758784,-3.7917943,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_TRITC_Day0.png,3.2549355,-2.5166595,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_TRITC_Day1.png,7.2327337,-3.7403615,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site2_TRITC_Day2.png,-4.1194525,0.18407808,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_FITC_Day0.png,5.2055783,-4.438718,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_FITC_Day1.png,0.048909713,-2.9872239,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_FITC_Day2.png,-3.4225864,-1.0134593,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_TRITC_Day0.png,4.280379,-3.4744668,-1
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_TRITC_Day1.png,-0.19180068,-2.706978,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site3_TRITC_Day2.png,-2.1782355,-2.6462953,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_FITC_Day0.png,1.7018431,-2.9974837,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_FITC_Day1.png,-1.52527,-3.0425816,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_FITC_Day2.png,-3.7873955,-0.46731952,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_TRITC_Day0.png,1.2909946,-2.6327572,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_TRITC_Day1.png,-2.1466477,-2.3463218,0
NCI Images/breast/bt549/nybd1/NYBD1-A2_250nM_BT549_site4_TRITC_Day2.png,-3.6779444,-0.8777582,0
