file_path,focus_score,status
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_FITC_Day1.png,20.81381988092544,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_FITC_Day1.png,42.55048720918003,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_TRITC_Day0.png,16.82165033395057,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_FITC_Day2.png,56.54737700815403,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_TRITC_Day1.png,101.65793221076035,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_TRITC_Day2.png,382.1078391736555,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site4_TRITC_Day2.png,161.8967969603354,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_FITC_Day1.png,2216.45929965397,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_TRITC_Day0.png,11037.763044055067,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site3_FITC_Day1.png,59.76255053260183,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_FITC_Day2.png,17.11760294954312,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site1_TRITC_Day0.png,233.44736125294105,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_FITC_Day2.png,5232.047916293607,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_250nM_BT549_site2_FITC_Day1.png,90.74342008684472,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site2_TRITC_Day1.png,208.26274782459973,OK
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_TRITC_Day1.png,6652.445232170418,OK
