file_path,mean_score
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_TRITC_Day0.png,13.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_TRITC_Day1.png,29.56
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A10_500nM_BT549_site4_TRITC_Day2.png,27.28
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_FITC_Day0.png,49.89
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_FITC_Day1.png,40.07
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_FITC_Day2.png,69.74
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_Hoechst.png,8.82
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_TRITC_Day0.png,105.14
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_TRITC_Day1.png,98.74
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site1_TRITC_Day2.png,113.05
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_FITC_Day0.png,76.28
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_FITC_Day1.png,37.72
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_FITC_Day2.png,60.83
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_Hoechst.png,8.83
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_TRITC_Day0.png,109.91
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_TRITC_Day1.png,90.95
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site2_TRITC_Day2.png,107.58
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_FITC_Day0.png,76.49
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_FITC_Day1.png,56.9
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A11_250nM_BT549_site3_FITC_Day2.png,78.83
