file_path,mean_score,bg_mean,sig_mean,sbr_score
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_250nM_BT549_site3_TRITC_Day0.png,78.85,76.0,107.0,1.408
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_250nM_BT549_site3_TRITC_Day1.png,68.8,67.0,94.0,1.403
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_250nM_BT549_site3_TRITC_Day2.png,67.83,70.0,93.0,1.329
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_250nM_BT549_site4_FITC_Day0.png,110.1,108.0,147.0,1.361
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_250nM_BT549_site4_FITC_Day1.png,103.3,100.0,139.0,1.39
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_250nM_BT549_site4_FITC_Day2.png,106.09,105.0,142.0,1.352
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_250nM_BT549_site4_TRITC_Day0.png,95.55,95.0,130.0,1.368
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_250nM_BT549_site4_TRITC_Day1.png,90.52,89.0,125.0,1.404
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_250nM_BT549_site4_TRITC_Day2.png,82.5,81.0,114.0,1.407
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site1_FITC_Day0.png,109.99,108.0,147.0,1.361
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site1_FITC_Day1.png,107.87,105.0,142.0,1.352
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site1_FITC_Day2.png,112.96,112.0,151.0,1.348
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site1_TRITC_Day0.png,62.68,60.0,85.0,1.417
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site1_TRITC_Day1.png,61.27,58.0,89.0,1.534
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site1_TRITC_Day2.png,56.88,56.0,86.0,1.536
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site2_FITC_Day0.png,124.49,124.0,159.0,1.282
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site2_FITC_Day1.png,118.47,115.0,156.0,1.357
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site2_FITC_Day2.png,108.55,109.0,146.0,1.339
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site2_TRITC_Day0.png,63.57,61.0,91.0,1.492
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site2_TRITC_Day1.png,67.45,64.0,96.0,1.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site2_TRITC_Day2.png,47.29,45.0,71.0,1.578
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site3_FITC_Day0.png,106.17,104.0,143.0,1.375
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site3_FITC_Day1.png,93.76,96.0,124.0,1.292
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site3_FITC_Day2.png,109.21,108.0,147.0,1.361
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site3_TRITC_Day0.png,67.09,66.0,97.0,1.47
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site3_TRITC_Day1.png,46.04,44.0,67.0,1.523
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site3_TRITC_Day2.png,89.56,87.0,130.0,1.494
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site4_FITC_Day0.png,107.04,105.0,142.0,1.352
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site4_FITC_Day1.png,103.57,106.0,135.0,1.274
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site4_FITC_Day2.png,108.77,105.0,142.0,1.352
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site4_TRITC_Day0.png,69.63,68.0,98.0,1.441
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site4_TRITC_Day1.png,57.98,57.0,85.0,1.491
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B5_500nM_BT549_site4_TRITC_Day2.png,62.89,60.0,90.0,1.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site1_FITC_Day0.png,13.13,12.0,18.0,1.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site1_FITC_Day1.png,21.44,19.0,38.0,2.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site1_FITC_Day2.png,57.62,55.0,86.0,1.564
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site1_TRITC_Day0.png,46.07,44.0,62.0,1.409
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site1_TRITC_Day1.png,57.38,57.0,80.0,1.404
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site1_TRITC_Day2.png,27.75,22.0,55.0,2.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site2_FITC_Day0.png,19.08,16.0,33.0,2.062
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site2_FITC_Day1.png,27.3,23.0,54.0,2.348
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site2_FITC_Day2.png,56.47,55.0,81.0,1.473
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site2_TRITC_Day0.png,52.0,51.0,71.0,1.392
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site2_TRITC_Day1.png,62.2,61.0,89.0,1.459
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site2_TRITC_Day2.png,23.11,20.0,46.0,2.3
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site3_FITC_Day0.png,12.0,9.0,26.0,2.889
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site3_FITC_Day1.png,27.69,23.0,56.0,2.435
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site3_FITC_Day2.png,94.98,91.0,128.0,1.407
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site3_TRITC_Day0.png,33.62,32.0,48.0,1.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site3_TRITC_Day1.png,71.46,71.0,100.0,1.408
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site3_TRITC_Day2.png,39.48,36.0,71.0,1.972
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site4_FITC_Day0.png,20.62,15.0,55.0,3.667
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site4_FITC_Day1.png,23.02,19.0,49.0,2.579
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site4_FITC_Day2.png,65.92,63.0,92.0,1.46
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site4_TRITC_Day0.png,53.07,49.0,85.0,1.735
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site4_TRITC_Day1.png,51.68,51.0,75.0,1.471
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_250nM_BT549_site4_TRITC_Day2.png,25.08,22.0,49.0,2.227
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site1_FITC_Day0.png,7.84,7.0,15.0,2.143
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site1_FITC_Day1.png,13.9,12.0,26.0,2.167
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site1_FITC_Day2.png,52.9,50.0,89.0,1.78
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site1_TRITC_Day0.png,19.34,19.0,27.0,1.421
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site1_TRITC_Day2.png,27.02,21.0,65.0,3.095
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site1_TRITC_Day1.png,38.02,36.0,54.0,1.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site2_FITC_Day0.png,10.68,9.0,15.0,1.667
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site2_FITC_Day1.png,24.05,22.0,37.0,1.682
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site2_FITC_Day2.png,26.97,25.0,42.0,1.68
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site2_TRITC_Day0.png,27.94,28.0,39.0,1.393
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site2_TRITC_Day1.png,57.28,55.0,78.0,1.418
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site2_TRITC_Day2.png,12.0,9.0,28.0,3.111
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site3_FITC_Day0.png,10.97,9.0,25.0,2.778
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site3_FITC_Day1.png,20.18,14.0,58.0,4.143
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site3_FITC_Day2.png,45.76,43.0,76.0,1.767
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site3_TRITC_Day0.png,27.93,26.0,43.0,1.654
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site3_TRITC_Day1.png,41.23,38.0,77.0,2.026
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site3_TRITC_Day2.png,20.86,14.0,59.0,4.214
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site4_FITC_Day0.png,13.13,10.0,32.0,3.2
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site4_FITC_Day1.png,18.94,16.0,38.0,2.375
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site4_FITC_Day2.png,53.19,50.0,83.0,1.66
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site4_TRITC_Day0.png,33.54,31.0,50.0,1.613
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site4_TRITC_Day1.png,39.58,38.0,58.0,1.526
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B6_500nM_BT549_site4_TRITC_Day2.png,25.24,20.0,60.0,3.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site1_FITC_Day0.png,15.92,14.0,30.0,2.143
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site1_FITC_Day1.png,16.6,10.0,54.0,5.4
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site1_FITC_Day2.png,19.2,13.0,53.0,4.077
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site1_TRITC_Day0.png,8.49,6.0,24.0,4.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site1_TRITC_Day1.png,28.86,24.0,64.0,2.667
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site1_TRITC_Day2.png,22.72,17.0,52.0,3.059
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site2_FITC_Day0.png,12.23,11.0,18.0,1.636
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site2_FITC_Day1.png,7.95,6.0,21.0,3.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site2_FITC_Day2.png,9.01,6.0,23.0,3.833
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site2_TRITC_Day0.png,5.89,5.0,11.0,2.2
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site2_TRITC_Day1.png,16.43,15.0,30.0,2.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site2_TRITC_Day2.png,12.38,10.0,26.0,2.6
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site3_FITC_Day0.png,24.31,18.0,58.0,3.222
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site3_FITC_Day1.png,17.16,11.0,52.0,4.727
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site3_FITC_Day2.png,16.87,12.0,45.0,3.75
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site3_TRITC_Day0.png,18.0,11.0,55.0,5.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site3_TRITC_Day1.png,22.68,18.0,54.0,3.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site3_TRITC_Day2.png,20.53,17.0,45.0,2.647
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site4_FITC_Day0.png,18.1,13.0,46.0,3.538
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site4_FITC_Day1.png,11.75,8.0,35.0,4.375
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site4_FITC_Day2.png,13.11,8.0,40.0,5.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site4_TRITC_Day0.png,12.37,6.0,42.0,7.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site4_TRITC_Day1.png,18.98,15.0,42.0,2.8
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_250nM_BT549_site4_TRITC_Day2.png,20.54,16.0,46.0,2.875
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site1_FITC_Day0.png,11.33,8.0,27.0,3.375
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site1_FITC_Day1.png,9.91,6.0,35.0,5.833
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site1_FITC_Day2.png,16.86,12.0,46.0,3.833
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site1_TRITC_Day0.png,8.22,5.0,26.0,5.2
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site1_TRITC_Day1.png,13.02,10.0,35.0,3.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site1_TRITC_Day2.png,18.07,14.0,43.0,3.071
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site2_FITC_Day0.png,12.11,10.0,29.0,2.9
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site2_FITC_Day1.png,11.5,7.0,37.0,5.286
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site2_FITC_Day2.png,11.07,5.0,37.0,7.4
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site2_TRITC_Day0.png,8.43,5.0,28.0,5.6
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site2_TRITC_Day1.png,17.4,14.0,41.0,2.929
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site2_TRITC_Day2.png,12.2,7.0,35.0,5.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site3_FITC_Day0.png,10.3,6.0,31.0,5.167
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site3_FITC_Day1.png,18.41,12.0,58.0,4.833
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site3_FITC_Day2.png,15.98,10.0,49.0,4.9
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site3_TRITC_Day0.png,10.13,4.0,36.0,9.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site3_TRITC_Day1.png,19.79,14.0,53.0,3.786
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site3_TRITC_Day2.png,16.03,11.0,44.0,4.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site4_FITC_Day0.png,11.06,7.0,38.0,5.429
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site4_FITC_Day1.png,15.97,10.0,49.0,4.9
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site4_FITC_Day2.png,25.01,18.0,69.0,3.833
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site4_TRITC_Day0.png,8.92,4.0,39.0,9.75
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site4_TRITC_Day1.png,18.03,12.0,49.0,4.083
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B7_500nM_BT549_site4_TRITC_Day2.png,28.88,22.0,71.0,3.227
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site1_FITC_Day0.png,17.19,15.0,37.0,2.467
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site1_FITC_Day1.png,17.9,14.0,44.0,3.143
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site1_FITC_Day2.png,65.71,64.0,98.0,1.531
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site1_TRITC_Day0.png,36.4,34.0,56.0,1.647
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site1_TRITC_Day2.png,33.56,29.0,67.0,2.31
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site1_TRITC_Day1.png,38.38,37.0,63.0,1.703
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site2_FITC_Day0.png,26.49,25.0,36.0,1.44
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site2_FITC_Day1.png,38.25,33.0,76.0,2.303
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site2_FITC_Day2.png,53.72,52.0,78.0,1.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site2_TRITC_Day0.png,57.63,56.0,79.0,1.411
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site2_TRITC_Day1.png,75.48,72.0,107.0,1.486
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site2_TRITC_Day2.png,24.39,19.0,53.0,2.789
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site3_FITC_Day0.png,27.8,21.0,67.0,3.19
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site3_FITC_Day1.png,23.68,17.0,58.0,3.412
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site3_FITC_Day2.png,59.86,58.0,90.0,1.552
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site3_TRITC_Day0.png,51.24,46.0,87.0,1.891
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site3_TRITC_Day1.png,42.34,39.0,73.0,1.872
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site3_TRITC_Day2.png,31.19,27.0,63.0,2.333
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site4_FITC_Day0.png,2.53,2.0,6.0,3.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site4_FITC_Day1.png,20.34,15.0,51.0,3.4
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site4_FITC_Day2.png,65.36,65.0,95.0,1.462
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site4_TRITC_Day0.png,4.79,4.0,8.0,2.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site4_TRITC_Day1.png,38.02,35.0,63.0,1.8
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_250nM_BT549_site4_TRITC_Day2.png,29.56,25.0,61.0,2.44
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site1_FITC_Day0.png,16.21,13.0,37.0,2.846
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site1_FITC_Day1.png,12.58,9.0,36.0,4.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site1_FITC_Day2.png,35.44,33.0,60.0,1.818
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site1_TRITC_Day0.png,27.97,26.0,48.0,1.846
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site1_TRITC_Day1.png,21.77,19.0,44.0,2.316
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site1_TRITC_Day2.png,20.69,17.0,46.0,2.706
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site2_FITC_Day0.png,24.45,22.0,38.0,1.727
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site2_FITC_Day1.png,20.1,16.0,48.0,3.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site2_FITC_Day2.png,36.37,33.0,64.0,1.939
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site2_TRITC_Day0.png,46.27,46.0,65.0,1.413
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site2_TRITC_Day1.png,39.37,36.0,67.0,1.861
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site2_TRITC_Day2.png,21.91,17.0,49.0,2.882
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site3_FITC_Day0.png,14.9,9.0,44.0,4.889
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site3_FITC_Day1.png,30.79,23.0,78.0,3.391
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site3_FITC_Day2.png,45.75,42.0,77.0,1.833
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site3_TRITC_Day0.png,23.99,20.0,53.0,2.65
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site3_TRITC_Day1.png,48.06,42.0,93.0,2.214
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site3_TRITC_Day2.png,28.56,23.0,63.0,2.739
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site4_FITC_Day0.png,13.33,8.0,44.0,5.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site4_FITC_Day1.png,11.33,9.0,27.0,3.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site4_FITC_Day2.png,31.51,28.0,56.0,2.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site4_TRITC_Day0.png,19.12,15.0,48.0,3.2
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site4_TRITC_Day1.png,17.76,16.0,33.0,2.062
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B8_500nM_BT549_site4_TRITC_Day2.png,18.98,14.0,45.0,3.214
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B9_250nM_BT549_site1_FITC_Day0.png,24.43,21.0,48.0,2.286
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B9_250nM_BT549_site1_FITC_Day1.png,35.85,35.0,58.0,1.657
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B9_250nM_BT549_site1_FITC_Day2.png,11.12,8.0,26.0,3.25
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B9_250nM_BT549_site1_TRITC_Day0.png,48.96,46.0,72.0,1.565
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B9_250nM_BT549_site1_TRITC_Day1.png,20.48,17.0,43.0,2.529
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B9_250nM_BT549_site1_TRITC_Day2.png,18.57,16.0,33.0,2.062
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B9_250nM_BT549_site2_FITC_Day0.png,18.46,15.0,44.0,2.933
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B9_250nM_BT549_site2_FITC_Day1.png,51.48,48.0,85.0,1.771
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B9_250nM_BT549_site2_FITC_Day2.png,19.11,14.0,49.0,3.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B9_250nM_BT549_site2_TRITC_Day0.png,36.63,35.0,62.0,1.771
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B9_250nM_BT549_site2_TRITC_Day2.png,31.87,29.0,60.0,2.069
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B9_250nM_BT549_site2_TRITC_Day1.png,34.2,28.0,75.0,2.679
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B9_250nM_BT549_site3_FITC_Day0.png,13.99,11.0,34.0,3.091
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B9_250nM_BT549_site3_FITC_Day1.png,23.37,21.0,41.0,1.952
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-B9_250nM_BT549_site3_FITC_Day2.png,21.9,16.0,58.0,3.625
