file_path,mean_score,bg_mean,sig_mean,sbr_score
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site4_FITC_Day1.png,12.66,12.0,22.0,1.833
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site4_FITC_Day2.png,21.49,19.0,37.0,1.947
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site4_TRITC_Day0.png,8.67,5.0,29.0,5.8
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site4_TRITC_Day1.png,5.13,4.0,14.0,3.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_250nM_BT549_site4_TRITC_Day2.png,10.48,7.0,26.0,3.714
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site1_FITC_Day0.png,17.63,16.0,30.0,1.875
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site1_FITC_Day1.png,33.69,32.0,50.0,1.562
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site1_FITC_Day2.png,24.09,21.0,46.0,2.19
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site1_TRITC_Day0.png,8.41,6.0,22.0,3.667
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site1_TRITC_Day1.png,14.85,12.0,32.0,2.667
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site1_TRITC_Day2.png,11.25,7.0,32.0,4.571
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site2_FITC_Day0.png,33.56,32.0,45.0,1.406
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site2_FITC_Day1.png,22.77,21.0,36.0,1.714
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site2_FITC_Day2.png,31.62,28.0,58.0,2.071
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site2_TRITC_Day0.png,15.66,14.0,21.0,1.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site2_TRITC_Day1.png,10.59,8.0,25.0,3.125
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site2_TRITC_Day2.png,15.74,11.0,42.0,3.818
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site3_FITC_Day0.png,19.16,17.0,34.0,2.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site3_FITC_Day1.png,18.51,17.0,36.0,2.118
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site3_FITC_Day2.png,22.66,18.0,50.0,2.778
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site3_TRITC_Day0.png,7.68,5.0,22.0,4.4
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site3_TRITC_Day1.png,8.66,5.0,26.0,5.2
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site3_TRITC_Day2.png,13.44,7.0,43.0,6.143
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site4_FITC_Day0.png,13.38,11.0,24.0,2.182
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site4_FITC_Day1.png,19.45,14.0,60.0,4.286
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site4_FITC_Day2.png,11.09,9.0,24.0,2.667
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site4_TRITC_Day0.png,6.78,5.0,18.0,3.6
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site4_TRITC_Day1.png,11.24,5.0,55.0,11.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A5_500nM_BT549_site4_TRITC_Day2.png,5.76,3.0,20.0,6.667
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site1_FITC_Day0.png,11.34,10.0,19.0,1.9
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site1_FITC_Day1.png,10.18,8.0,23.0,2.875
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site1_FITC_Day2.png,14.76,11.0,32.0,2.909
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site1_TRITC_Day0.png,24.67,23.0,35.0,1.522
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site1_TRITC_Day1.png,19.51,17.0,32.0,1.882
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site1_TRITC_Day2.png,11.72,7.0,31.0,4.429
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site2_FITC_Day0.png,13.87,13.0,18.0,1.385
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site2_FITC_Day1.png,22.72,13.0,81.0,6.231
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site2_FITC_Day2.png,28.29,22.0,63.0,2.864
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site2_TRITC_Day0.png,28.26,27.0,38.0,1.407
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site2_TRITC_Day1.png,33.76,26.0,86.0,3.308
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site2_TRITC_Day2.png,21.09,15.0,58.0,3.867
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site3_FITC_Day0.png,13.44,7.0,46.0,6.571
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site3_FITC_Day1.png,13.28,8.0,40.0,5.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site3_FITC_Day2.png,24.64,21.0,49.0,2.333
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site3_TRITC_Day0.png,18.88,14.0,48.0,3.429
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site3_TRITC_Day1.png,20.15,16.0,44.0,2.75
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site3_TRITC_Day2.png,14.7,10.0,42.0,4.2
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site4_FITC_Day0.png,10.62,8.0,24.0,3.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site4_FITC_Day1.png,21.15,12.0,69.0,5.75
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site4_FITC_Day2.png,30.14,25.0,62.0,2.48
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site4_TRITC_Day0.png,20.51,18.0,34.0,1.889
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site4_TRITC_Day1.png,33.6,27.0,79.0,2.926
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_250nM_BT549_site4_TRITC_Day2.png,19.98,14.0,55.0,3.929
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site1_FITC_Day0.png,12.13,11.0,16.0,1.455
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site1_FITC_Day1.png,5.55,4.0,10.0,2.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site1_FITC_Day2.png,27.3,21.0,67.0,3.19
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site1_TRITC_Day0.png,22.3,21.0,30.0,1.429
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site1_TRITC_Day1.png,8.23,7.0,13.0,1.857
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site1_TRITC_Day2.png,24.09,17.0,68.0,4.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site2_FITC_Day0.png,9.39,8.0,15.0,1.875
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site2_FITC_Day1.png,12.48,8.0,37.0,4.625
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site2_FITC_Day2.png,20.31,14.0,55.0,3.929
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site2_TRITC_Day0.png,13.98,13.0,20.0,1.538
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site2_TRITC_Day1.png,18.21,14.0,42.0,3.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site2_TRITC_Day2.png,19.58,12.0,59.0,4.917
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site3_FITC_Day0.png,8.76,4.0,37.0,9.25
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site3_FITC_Day1.png,14.8,7.0,56.0,8.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site3_FITC_Day2.png,13.84,10.0,37.0,3.7
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site3_TRITC_Day0.png,11.24,7.0,36.0,5.143
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site3_TRITC_Day1.png,17.52,12.0,54.0,4.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site3_TRITC_Day2.png,11.01,6.0,39.0,6.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site4_FITC_Day0.png,10.12,6.0,33.0,5.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site4_FITC_Day1.png,18.3,11.0,60.0,5.455
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site4_FITC_Day2.png,17.64,13.0,50.0,3.846
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site4_TRITC_Day0.png,11.77,8.0,31.0,3.875
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site4_TRITC_Day1.png,21.76,15.0,60.0,4.0
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A6_500nM_BT549_site4_TRITC_Day2.png,12.88,7.0,48.0,6.857
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site1_FITC_Day0.png,103.22,106.0,135.0,1.274
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site1_FITC_Day1.png,40.54,39.0,61.0,1.564
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site1_FITC_Day2.png,36.12,32.0,65.0,2.031
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site1_TRITC_Day0.png,47.07,47.0,65.0,1.383
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site1_TRITC_Day1.png,88.2,89.0,119.0,1.337
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site1_TRITC_Day2.png,90.05,91.0,121.0,1.33
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site2_FITC_Day0.png,109.64,112.0,151.0,1.348
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site2_FITC_Day1.png,24.81,21.0,40.0,1.905
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site2_FITC_Day2.png,21.21,18.0,38.0,2.111
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site2_TRITC_Day0.png,61.64,59.0,87.0,1.475
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site2_TRITC_Day1.png,61.0,61.0,86.0,1.41
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site2_TRITC_Day2.png,55.34,54.0,75.0,1.389
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site3_FITC_Day0.png,59.56,60.0,81.0,1.35
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site3_FITC_Day1.png,18.16,15.0,39.0,2.6
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site3_FITC_Day2.png,29.88,27.0,52.0,1.926
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site3_TRITC_Day0.png,26.28,24.0,40.0,1.667
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site3_TRITC_Day1.png,46.75,47.0,68.0,1.447
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site3_TRITC_Day2.png,69.91,70.0,100.0,1.429
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site4_FITC_Day0.png,57.89,56.0,82.0,1.464
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site4_FITC_Day1.png,26.74,23.0,52.0,2.261
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site4_FITC_Day2.png,13.02,12.0,23.0,1.917
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site4_TRITC_Day0.png,24.64,22.0,47.0,2.136
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site4_TRITC_Day1.png,68.69,68.0,96.0,1.412
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_250nM_BT549_site4_TRITC_Day2.png,37.62,37.0,51.0,1.378
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_500nM_BT549_site1_FITC_Day0.png,42.54,41.0,60.0,1.463
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_500nM_BT549_site1_FITC_Day1.png,20.15,16.0,41.0,2.562
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_500nM_BT549_site1_FITC_Day2.png,21.47,18.0,47.0,2.611
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_500nM_BT549_site1_TRITC_Day0.png,17.74,16.0,33.0,2.062
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_500nM_BT549_site1_TRITC_Day1.png,38.97,36.0,60.0,1.667
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_500nM_BT549_site1_TRITC_Day2.png,47.88,46.0,73.0,1.587
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_500nM_BT549_site2_FITC_Day0.png,62.73,61.0,84.0,1.377
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_500nM_BT549_site2_FITC_Day1.png,20.42,16.0,49.0,3.062
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_500nM_BT549_site2_FITC_Day2.png,15.89,12.0,37.0,3.083
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_500nM_BT549_site2_TRITC_Day0.png,27.37,26.0,39.0,1.5
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_500nM_BT549_site2_TRITC_Day1.png,46.17,46.0,73.0,1.587
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_500nM_BT549_site2_TRITC_Day2.png,32.8,30.0,52.0,1.733
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_500nM_BT549_site3_FITC_Day0.png,27.58,26.0,40.0,1.538
../data/png_converted/NCI Images/breast/bt549/nybd1/NYBD1-A7_500nM_BT549_site3_FITC_Day1.png,31.65,27.0,63.0,2.333
